hello Title,URL,
"Mapping geographical inequalities in oral rehydration therapy coverage in low-income and middle-income countries, 2000-17 - Amrita Vishwa Vidyapeetham",https://www.amrita.edu/publication/mapping-geographical-inequalities-in-oral-rehydration-therapy-coverage-in-low-income-and-middle-income-countries-2000-17/,
Rujakara Marma – A conceptual review - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/publication/rujakara-marma-a-conceptual-review/,
Securing image posts in social networking sites - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/publication/securing-image-posts-social-networking-sites/,
Progress and Incidence of Buerger's Disease in Bangalore - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/publication/progress-and-incidence-of-buergers-disease-in-bangalore/,
A Study of the Phases of Classification of Liver diseases from Ultrasound Images and Gray Level Difference Weights based Segmentation - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/publication/a-study-of-the-phases-of-classification-of-liver-diseases-from-ultrasound-images-and-gray-level-difference-weights-based-segmentation/,
Physical and Psychological Benefits of Pranayama in Patients Undergoing Lung Cancer Treatment - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/publication/physical-and-psychological-benefits-of-pranayama-in-patients-undergoing-lung-cancer-treatment/,
Dr. Sivakumar V. - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/faculty/v-sivakumar/,
An Improved Spam Detection Method with Weighted Support Vector Machine - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/publication/an-improved-spam-detection-method-with-weighted-support-vector-machine/,
Examining the adoption intentions of women in Kochi regarding uber services - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/publication/examining-the-adoption-intentions-of-women-in-kochi-regarding-uber-services/,
"Fc gamma receptor gene polymorphism and its association with periodontal disease in a population in Tamilnadu, India. - Amrita Vishwa Vidyapeetham",https://www.amrita.edu/publication/fc-gamma-receptor-gene-polymorphism-and-its-association-with-periodontal-disease-in-a-population-in-tamilnadu-india/,
Soft-i-Robot: An Internet-Based Intelligent Multimedia Robot Security System Using Soft Computing Paradigms - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/publication/soft-i-robot-an-internet-based-intelligent-multimedia-robot-security-system-using-soft-computing-paradigms/,
Amrita Faculty Presents Research Work - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/news/amrita-faculty-presents-research-work/,
Satellite Image Classification Using Unsupervised Learning and SIFT - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/publication/satellite-image-classification-using-unsupervised-learning-and-sift/,
National Workshops - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/program-m-tech-communication-systems-national-workshops/,
Dr. Praveen K. - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/faculty/k-praveen/,
"Structural, nanomorphological and optical characteristics of self-assembled 2D-layered WS2-CdTe quantum dot heterostructure - Amrita Vishwa Vidyapeetham",https://www.amrita.edu/publication/structural-nanomorphological-and-optical-characteristics-of-self-assembled-2d-layered-ws2-cdte-quantum-dot-heterostructure/,
Implementation of H. 264 Decoder - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/publication/implementation-of-h-264-decoder/,
Novel amphiphilic nano-particle based thermoresponsive coatings on surfaces for tissue engineering applications - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/publication/novel-amphiphilic-nano-particle-based-thermoresponsive-coatings-on-surfaces-for-tissue-engineering-applications/,
PhD Program in Ayurveda Launched at Amrita Vishwa Vidyapeetham - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/news/phd-program-in-ayurveda-launched-at-amrita-vishwa-vidyapeetham/,
Principles of Digital Signal Processing - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/publication/principles-of-digital-signal-processing/,
Best Paper Award for DTCA Study - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/news/best-paper-award-for-dtca-study/,
Amrita Students Conduct Cleanup Drive to Celebrate India’s 69th Independence Day - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/news/amrita-students-conduct-cleanup-drive-to-celebrate-indias-69th-independence-day/,
"Novel Anti-MRSA Compounds from Padina tetrastromatica: Identification, Isolation and Mass Spectrometric characterization - Amrita Vishwa Vidyapeetham",https://www.amrita.edu/project/novel-anti-mrsa-compounds-padina-tetrastromatica-identification-isolation-and-mass/,
Carbon Nanotube Transistors for VLSI Circuits - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/news/carbon-nanotube-transistors-for-vlsi-circuits/,
Amrita Hospital Gear Up to Treat COVID-19 Patients - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/press-media/amrita-hospital-gear-treat-covid-19-patients/,
Amrita Vishwa Vidyapeetham Faculty Comments on Massive Erosion of Forests in Kerala - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/press-media/amrita-university-faculty-comments-massive-erosion-forests-kerala/,
AIAPGET 2020 Mock Test for MD/MS Aspirants - Amrita School of Ayurveda - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/news/aiapget-2020-mock-test-mdms-aspirants-amrita-school-ayurveda/,
Advanced Twitter Sentiment Analysis Using Supervised Techniques and Minimalistic Features - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/publication/advanced-twitter-sentiment-analysis-using-supervised-techniques-and-minimalistic-features/,
Isolation and identification of endophytes from marine algae - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/project/isolation-and-identification-endophytes-marine-algae/,
Wireless power transfer using resonant converters for Defence application - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/publication/wireless-power-transfer-using-resonant-converters-for-defence-application/,
Medical Signal Processing - Amrita Vishwa Vidyapeetham,https://www.amrita.edu/course/medical-signal-processing/,
Scope Of B Tech In Artificial Intelligence And Data Science,https://www.amrita.edu/blog/scope-of-b-tech-in-artificial-intelligence-and-data-science/,
Scope Of Biomedical Engineering,https://www.amrita.edu/scope-of-biomedical-engineering/,
Bharatam Glimpses From A Travelogue,https://www.amrita.edu/blog/bharatam-glimpses-from-a-travelogue/,
Indias First Simulation Learning Platform For Critical Care In Public Health Launched In Civil 20 Ihh Summit,https://www.amrita.edu/blog/indias-first-simulation-learning-platform-for-critical-care-in-public-health-launched-in-civil-20-ihh-summit/,
Strategical Silhouette Of An Extraordinary Peace Mission,https://www.amrita.edu/blog/strategical-silhouette-of-an-extraordinary-peace-mission/,
Mahabharata Lessons In 21St Century Statecraft From The Itihasa,https://www.amrita.edu/blog/mahabharata-lessons-in-21st-century-statecraft-from-the-itihasa/,
Sublime Beauty And Subtle Strength,https://www.amrita.edu/blog/sublime-beauty-and-subtle-strength/,
Karma Theory And Harmonious Living Part 2 2,https://www.amrita.edu/blog/karma-theory-and-harmonious-living-part-2-2/,
The Rise Of Bharat,https://www.amrita.edu/blog/the-rise-of-bharat/,
Curse Or Karma Rishi Maitreyas Shaapa,https://www.amrita.edu/blog/curse-or-karma-rishi-maitreyas-shaapa/,
Jatayu And Mahabharata,https://www.amrita.edu/blog/jatayu-and-mahabharata/,
Karma Theory And Harmonious Livingpart 1 2,https://www.amrita.edu/blog/karma-theory-and-harmonious-livingpart-1-2/,
Lessons On Friendship,https://www.amrita.edu/blog/lessons-on-friendship/,
Goddess Of Knowledge,https://www.amrita.edu/blog/goddess-of-knowledge/,
Following The Journey Of Alamthuruthy Bhagavati A Vaishnava Depiction Of Ku%E1%B9%87Dalini Traversing Through %E1%B9%A3A%E1%B9%Ad Cakras,https://www.amrita.edu/blog/following-the-journey-of-alamthuruthy-bhagavati-a-vaishnava-depiction-of-ku%E1%B9%87dalini-traversing-through-%E1%B9%A3a%E1%B9%AD-cakras/,
Time Does Not Sleep,https://www.amrita.edu/blog/time-does-not-sleep/,
Digvijaya Yatra To Establish Dharma,https://www.amrita.edu/blog/digvijaya-yatra-to-establish-dharma/,
Dronas Disciple,https://www.amrita.edu/blog/dronas-disciple/,
Bhismas Pratijna,https://www.amrita.edu/blog/bhismas-pratijna/,
The Hunter King Not In Disguise,https://www.amrita.edu/blog/the-hunter-king-not-in-disguise/,
Olympics Kurukshetra And Life,https://www.amrita.edu/blog/olympics-kurukshetra-and-life/,
The Hunter Hunted,https://www.amrita.edu/blog/the-hunter-hunted/,
